payment_id,customer_id,payment_method,date,amount
0,0,card,2020-03-31,50600.0
1,0,card,2020-04-30,46478.3
2,0,card,2020-05-31,57211.0
3,0,card,2020-06-30,64458.9
4,0,card,2020-07-31,60287.7
5,0,card,2020-08-31,56986.6
6,0,card,2020-09-30,60745.3
7,0,card,2020-10-31,57334.2
8,0,card,2020-11-30,50740.8
9,0,card,2020-12-31,53389.6
10,0,card,2021-01-31,59133.8
11,0,card,2021-02-28,50842.0
12,0,card,2021-03-31,59215.2
13,0,card,2021-04-30,56602.7
14,0,card,2021-05-31,61119.3
15,0,card,2021-06-30,41621.8
16,0,card,2021-07-31,69545.3
17,0,card,2021-08-31,49955.4
18,0,card,2021-09-30,62220.4
19,0,card,2021-10-31,71212.9
20,0,card,2021-11-30,55004.4
21,0,card,2021-12-31,58852.2
22,0,card,2022-01-31,66861.3
23,0,card,2022-02-28,51654.9
24,0,card,2022-03-31,16160.1
25,1,card,2018-02-28,37911.5
26,1,card,2018-03-31,97570.0
27,1,card,2018-04-30,112996.4
28,1,card,2018-05-31,123756.6
29,1,card,2018-06-30,116567.0
30,1,card,2018-07-31,82462.6
31,1,card,2018-08-31,109375.2
32,1,card,2018-09-30,95702.2
33,1,card,2018-10-31,107127.9
34,1,card,2018-11-30,125230.6
35,1,card,2018-12-31,104091.9
36,1,card,2019-01-31,101401.3
37,1,card,2019-02-28,101502.5
38,1,card,2019-03-31,116601.1
39,1,card,2019-04-30,109365.3
40,1,card,2019-05-31,107323.7
41,1,card,2019-06-30,87985.7
42,1,card,2019-07-31,121939.4
43,1,card,2019-08-31,115326.2
44,1,card,2019-09-30,100923.9
45,1,card,2019-10-31,105991.6
46,1,card,2019-11-30,107789.0
47,1,card,2019-12-31,122948.1
48,1,card,2020-01-31,100372.8
49,1,card,2020-02-29,99134.2
50,1,card,2020-03-31,101834.7
51,1,card,2020-04-30,108062.9
52,1,card,2020-05-31,124094.3
53,1,card,2020-06-30,95760.5
54,1,card,2020-07-31,135867.6
55,1,card,2020-08-31,111742.4
56,1,card,2020-09-30,103999.5
57,1,card,2020-10-31,143189.2
58,1,card,2020-11-30,94584.6
59,1,card,2020-12-31,94605.5
60,1,card,2021-01-31,93274.5
61,1,card,2021-02-28,88216.7
62,1,card,2021-03-31,98451.1
63,1,card,2021-04-30,95130.2
64,1,card,2021-05-31,74386.4
65,1,card,2021-05-31,2046.0
66,1,card,2021-06-30,2323.2
67,1,card,2021-07-31,2310.0
68,1,card,2021-08-31,2316.6
69,1,card,2021-09-30,2319.9
70,1,card,2021-10-31,2296.8
71,1,card,2021-11-30,2402.4
72,1,card,2021-12-31,2402.4
73,1,card,2022-01-31,2323.2
74,1,card,2022-02-28,2263.8
75,1,card,2022-03-31,1999.8
76,2,card,2011-12-31,70489.1
77,2,card,2012-01-31,117145.6
78,2,card,2012-02-29,107350.1
79,2,card,2012-03-31,119432.5
80,2,card,2012-04-30,107023.4
81,2,card,2012-05-31,107460.1
82,2,card,2012-06-30,111955.8
83,2,card,2012-07-31,99100.1
84,2,card,2012-08-31,110137.5
85,2,card,2012-09-30,103646.4
86,2,card,2012-10-31,132111.1
87,2,card,2012-11-30,107089.4
88,2,card,2012-12-31,121401.5
89,2,card,2013-01-31,102742.2
90,2,card,2013-02-28,106378.8
91,2,card,2013-03-31,107305.0
92,2,card,2013-04-30,110759.0
93,2,card,2013-05-31,92182.2
94,2,card,2013-06-30,113301.1
95,2,card,2013-07-31,117344.7
96,2,card,2013-08-31,99746.9
97,2,card,2013-09-30,104919.1
98,2,card,2013-10-31,107859.4
99,2,card,2013-11-30,139904.6
100,2,card,2013-12-31,112440.9
101,2,card,2014-01-31,124968.8
102,2,card,2014-02-28,83021.4
103,2,card,2014-03-31,113131.7
104,2,card,2014-04-30,113253.8
105,2,card,2014-05-31,95566.9
106,2,card,2014-06-30,118742.8
107,2,card,2014-07-31,101697.2
108,2,card,2014-08-31,104608.9
109,2,card,2014-09-30,110117.7
110,2,card,2014-10-31,115135.9
111,2,card,2014-11-30,104898.2
112,2,card,2014-12-31,114143.7
113,2,card,2015-01-31,124576.1
114,2,card,2015-02-28,115647.4
115,2,card,2015-03-31,119499.6
116,2,card,2015-04-30,115591.3
117,2,card,2015-05-31,119498.5
118,2,card,2015-06-30,103154.7
119,2,card,2015-07-31,135789.5
120,2,card,2015-08-31,112288.0
121,2,card,2015-09-30,123879.8
122,2,card,2015-10-31,112080.1
123,2,card,2015-11-30,108089.3
124,2,card,2015-12-31,115536.3
125,2,card,2016-01-31,88465.3
126,2,card,2016-02-29,109971.4
127,2,card,2016-03-31,102456.2
128,2,card,2016-04-30,106234.7
129,2,card,2016-05-31,116718.8
130,2,card,2016-06-30,92761.9
131,2,card,2016-07-31,121988.9
